Main ID,Incident Date,Incident Year,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,lat,long
2014.MMP00207,2014-09-14,2014,September,,73,73,,,,,Drowning,31.5253,29.6864
2014.MMP00207,2014-09-14,2014,September,15,,15,72,,,,Drowning,31.5253,29.6864
2014.MMP00208,2014-09-14,2014,September,70,94,164,36,,,1,Drowning,33.5048,13.8702
2014.MMP00209,2014-09-21,2014,September,10,33,43,55,,,,Drowning,33.6053,16.9684
2014.MMP00216,2014-10-01,2014,October,2,6,8,,,1,,Drowning,35.9858,-5.39635
2014.MMP00219,2014-10-02,2014,October,10,85,95,85,,,,Drowning,33.5963,14.6338
"2014.MMP00221,2014-10-10,2014,October,3,,3,646,,,,""Harsh environmental conditions / lack of adequate shelter, food, water"",35.898,15.4907"
2014.MMP00237,2014-10-29,2014,October,,20,20,93,,,,Drowning,33.34957847,13.75960838
2014.MMP00240,2014-11-08,2014,November,,4,4,5,,,1,Drowning,39.279,26.532
2014.MMP00243,2014-11-26,2014,November,,6,6,,,,,Drowning,36.3151,12.9199
2014.MMP00244,2014-11-26,2014,November,,12,12,,,,,Drowning,35.9246,13.1616
"2014.MMP00247,2014-12-05,2014,December,17,,17,75,1,15,1,""Harsh environmental conditions / lack of adequate shelter, food, water"",34.1618,13.0737"
2014.MMP00248,2014-12-05,2014,December,,23,23,28,,,,Drowning,36.3992,-2.38403
2014.MMP00252,2014-12-19,2014,December,9,,9,21,,,3,Drowning,35.8468,-5.80353
2014.MMP00253,2014-12-23,2014,December,5,,5,,,1,,Drowning,34.8138,13.7109
2014.MMP00254,2014-12-24,2014,December,,30,30,,,,,Mixed or unknown,34.3071,16.6113
2014.MMP00255,2014-12-28,2014,December,,2,2,,,,,Drowning,39.9771,19.0503
2014.MMP00256,2014-12-29,2014,December,,9,9,2,,,,Drowning,36.9993,27.36418
2014.MMP00258,2014-12-30,2014,December,4,,4,,,,,Drowning,33.3482565,11.109411
2014.MMP01266,2014-10-27,2014,October,,1,1,,,1,,Drowning,38.74477,26.486067
2014.MMP01266,2014-10-27,2014,October,,2,2,20,,1,,Drowning,38.74477,26.486067
2014.MMP1039,2014-10-27,2014,October,,1,1,,,,,Drowning,38.74477,26.486067
2014.MMP1039,2014-10-27,2014,October,,2,2,,,1,,Drowning,38.74477,26.486067
2015.MMP00010,2015-01-04,2015,January,5,,5,16,,,,Drowning,35.908983,-1.592287
2015.MMP00019,2015-01-16,2015,January,9,36,45,27,,,,Drowning,36.8103313,27.271264
2015.MMP00021,2015-01-18,2015,January,1,,1,418,,,,Mixed or unknown,34.8859,14.4141
2015.MMP00025,2015-01-22,2015,January,1,20,21,86,,21,,Drowning,35.272947,-2.924594
2015.MMP00032,2015-01-30,2015,January,8,2,10,10,,,,Drowning,35.286196,-2.958993
2015.MMP00041,2015-02-07,2015,February,7,2,9,6,,,,Drowning,34.579,12.4365
"2015.MMP00042,2015-02-08,2015,February,29,,29,76,,29,,""Harsh environmental conditions / lack of adequate shelter, food, water"",34.3797,12.8101"
2015.MMP00043,2015-02-09,2015,February,,307,307,9,,,,Drowning,34.3616,12.9858
2015.MMP00054,2015-03-03,2015,March,10,40,50,,,,,Drowning,36.0313,13.3594
2015.MMP00071,2015-03-17,2015,March,5,3,8,8,,,,Drowning,37.020073,27.401316
2015.MMP00074,2015-03-19,2015,March,3,0,3,84,,,,Drowning,33.5041035,11.088149
2015.MMP00091,2015-04-06,2015,April,7,4,11,9,,,,Drowning,37.4667,26.9667
2015.MMP00094,2015-04-10,2015,April,2,,2,129,1,1,,Drowning,31.1063198,30.941975
2015.MMP00095,2015-04-10,2015,April,1,,1,,,,,Mixed or unknown,34.2345,14.7437
2015.MMP00099,2015-04-13,2015,April,9,391,400,144,,,,Drowning,36.1734,17.572607
2015.MMP00103,2015-04-16,2015,April,,12,12,15,,,,Violence,35.7465,14.4141
2015.MMP00104,2015-04-16,2015,April,,41,41,4,,41,,Drowning,34.8859,14.4141
2015.MMP00106,2015-04-17,2015,April,1,0,1,70,1,,,Accidental death,35.7465,14.4141
2015.MMP00108,2015-04-18,2015,April,750,272,1022,28,,,,Drowning,35.03,14.6777
2015.MMP00110,2015-04-20,2015,April,2,,2,88,1,1,1,Drowning,33.7123,11.4474
2015.MMP00110,2015-04-20,2015,April,1,,1,,,1,,Drowning,33.7123,11.4474
2015.MMP00113,2015-04-21,2015,April,1,,1,,,1,,Vehicle accident / death linked to hazardous transport,41.15024178,17.421188
2015.MMP00127,2015-05-02,2015,May,3,,3,31,,,,Drowning,31.2996277,30.292164
2015.MMP00128,2015-05-02,2015,May,10,,10,,,,,Drowning,31.59403522,18.109551
2015.MMP00129,2015-05-04,2015,May,5,41,46,91,,46,,Mixed or unknown,36.3916205,14.349837
2015.MMP00143,2015-05-21,2015,May,1,,1,,,1,1,Vehicle accident / death linked to hazardous transport,35.3099495,13.479818
2015.MMP00146,2015-05-23,2015,May,5,,5,49,,,,Drowning,35.6439601,10.946794
2015.MMP00149,2015-05-25,2015,May,5,,5,25,,,,Drowning,38.3243,26.28878
2015.MMP00152,2015-05-26,2015,May,1,,1,,,1,1,Vehicle accident / death linked to hazardous transport,35.880463,-5.32093
2015.MMP00161,2015-05-30,2015,May,17,8,25,454,,,,Mixed or unknown,35.05031439,18.113847
2015.MMP00161,2015-05-30,2015,May,,,0,,1,,,Mixed or unknown,35.05031439,18.113847
2015.MMP00187,2015-06-17,2015,June,3,,3,,,3,,Drowning,34.9814784,23.490954
2015.MMP00193,2015-06-20,2015,June,,22,22,,,,,Drowning,35.352515,-3.976368
2015.MMP00198,2015-06-23,2015,June,1,,1,,,,,Violence,34.2345,14.7437
2015.MMP00199,2015-06-23,2015,June,6,,6,66,1,,,Drowning,37.0059,27.4196
2015.MMP00201,2015-06-25,2015,June,1,,1,,1,,,Sickness / lack of access to adequate healthcare,35.1288385,18.902834
2015.MMP00223,2015-07-09,2015,July,9,,9,,1,8,,Drowning,31.6534,31.2891
2015.MMP00226,2015-07-07,2015,July,3,15,18,19,,,,Drowning,37.3511,27.0371
2015.MMP00228,2015-07-09,2015,July,12,,12,106,4,,,Mixed or unknown,37.779414,26.35341
2015.MMP00229,2015-07-10,2015,July,30,,30,,,,,Drowning,32.75,13.7167
2015.MMP00234,2015-07-15,2015,July,1,,1,,1,,1,Sickness / lack of access to adequate healthcare,35.7465,14.4141
2015.MMP00236,2015-07-15,2015,July,100,,100,,,,,Drowning,32.86529572,13.092461
2015.MMP00237,2015-07-16,2015,July,6,,6,10,,,,Drowning,39.2836,26.5057
2015.MMP00246,2015-07-23,2015,July,40,,40,,,,,Drowning,34.2345,14.7437
2015.MMP00250,2015-07-27,2015,July,4,,4,,,4,,Mixed or unknown,34.2345,14.7437
2015.MMP00250,2015-07-27,2015,July,9,,9,,,9,,Mixed or unknown,34.2345,14.7437
2015.MMP00250,2015-07-27,2015,July,1,,1,,,1,,Mixed or unknown,34.2345,14.7437
2015.MMP00274,2015-08-02,2015,August,4,,4,,,4,,Drowning,35.9272,-5.32547
2015.MMP00275,2015-08-03,2015,August,5,,5,,,,,Mixed or unknown,34.9814784,23.490954
2015.MMP00276,2015-08-03,2015,August,1,,1,,,1,,Vehicle accident / death linked to hazardous transport,36.834047,-2.463714
2015.MMP00283,2015-08-06,2015,August,22,200,222,373,2,,2,Drowning,34.289,12.7661
2015.MMP00283,2015-08-06,2015,August,3,,3,,2,2,,Drowning,34.289,12.7661
2015.MMP00283,2015-08-06,2015,August,2,,2,,,,,Drowning,34.289,12.7661
2015.MMP00292,2015-08-11,2015,August,,60,60,54,18,42,,Drowning,37.8998228,15.444212
2015.MMP00298,2015-08-15,2015,August,49,,49,312,,49,,Vehicle accident / death linked to hazardous transport,36.941323,27.343616
2015.MMP00300,2015-08-16,2015,August,1,,1,,1,,,Mixed or unknown,33.2548,11.4066
2015.MMP00303,2015-08-17,2015,August,1,,1,,,1,1,Mixed or unknown,36.89333,27.288888
2015.MMP00306,2015-08-17,2015,August,9,,9,31,,,,Drowning,36.10688204,33.990881
2015.MMP00307,2015-08-18,2015,August,6,,6,3,,,1,Drowning,36.9211826,29.191935
2015.MMP00322,2015-08-21,2015,August,1,,1,19,,1,,Mixed or unknown,39.2836,26.5057
2015.MMP00327,2015-08-23,2015,August,1,,1,125,,,,Mixed or unknown,37.5005,27.0791
2015.MMP00328,2015-08-24,2015,August,2,4,6,8,,6,,Drowning,39.2836,26.5057
2015.MMP00329,2015-08-24,2015,August,1,,1,,,,,Drowning,39.3700725,25.453518
2015.MMP00330,2015-08-24,2015,August,3,,3,73,,,,Drowning,39.344441,26.557274
2015.MMP00335,2015-08-25,2015,August,2,,2,,,2,,Drowning,36.632829,-3.532317
2015.MMP00336,2015-08-25,2015,August,1,,1,,,1,1,Mixed or unknown,36.632829,-3.532317
2015.MMP00337,2015-08-26,2015,August,52,,52,441,,,,Vehicle accident / death linked to hazardous transport,34.2345,14.7437
2015.MMP00338,2015-08-27,2015,August,3,5,8,124,3,,,Mixed or unknown,31.199373,16.596383
2015.MMP00339,2015-08-27,2015,August,1,,1,,,,,Mixed or unknown,34.5531284,18.048011
2015.MMP00341,2015-08-27,2015,August,111,91,202,198,1,6,,Drowning,32.151074,16.360273
2015.MMP00345,2015-08-28,2015,August,2,,2,,2,,,Vehicle accident / death linked to hazardous transport,34.38788813,17.975903
2015.MMP00346,2015-08-29,2015,August,1,,1,,,1,1,Violence,37.7548,26.9778
2015.MMP00347,2015-08-30,2015,August,37,,37,,,,,Drowning,32.7998038,13.098975
2015.MMP00348,2015-08-31,2015,August,6,,6,,,,,Mixed or unknown,34.25502621,20.970292
2015.MMP00349,2015-08-31,2015,August,1,,1,,1,,,Sickness / lack of access to adequate healthcare,39.1756491,25.943523
2015.MMP00350,2015-08-31,2015,August,1,,1,12,,1,,Drowning,35.8889515,-5.353556
2015.MMP00361,2015-09-01,2015,September,4,,4,112,4,,,Vehicle accident / death linked to hazardous transport,35.4607,13.1396
2015.MMP00363,2015-09-02,2015,September,1,,1,,,1,,Mixed or unknown,38.406249,26.246271
2015.MMP00364,2015-09-02,2015,September,1,,1,,,,,Mixed or unknown,39.2836,26.5057
2015.MMP00365,2015-09-02,2015,September,5,,5,8,,,2,Drowning,37.2028822,28.311496
2015.MMP00366,2015-09-02,2015,September,,,0,,,,,Drowning,37.2028822,28.311496
2015.MMP00366,2015-09-02,2015,September,,,0,,,,,Drowning,37.2028822,28.311496
2015.MMP00366,2015-09-02,2015,September,7,3,10,7,2,3,4,Drowning,37.2028822,28.311496
2015.MMP00368,2015-09-03,2015,September,1,43,44,91,,,,Drowning,33.0186595,15.445569
2015.MMP00372,2015-09-05,2015,September,1,,1,,,1,1,Drowning,37.4653473,26.932666
2015.MMP00377,2015-09-06,2015,September,,20,20,107,,,,Drowning,31.914825,30.322228
2015.MMP00378,2015-09-06,2015,September,1,1,2,,,2,,Drowning,36.03421196,-5.392037
2015.MMP00385,2015-09-10,2015,September,1,,1,,,,,Mixed or unknown,35.2914156,-2.992539
2015.MMP00387,2015-09-12,2015,September,,1,1,,,,,Drowning,36.949998,26.983329
2015.MMP00387,2015-09-12,2015,September,,3,3,25,2,2,4,Drowning,36.949998,26.983329
2015.MMP00390,2015-09-12,2015,September,,1,1,32,,1,,Drowning,39.2836,26.5057
2015.MMP00392,2015-09-13,2015,September,34,4,38,99,15,15,15,Drowning,37.2948,27.1199
2015.MMP00393,2015-09-14,2015,September,2,,2,11,,,,Drowning,38.022701,27.067593
2015.MMP00394,2015-09-15,2015,September,22,,22,249,,,4,Drowning,34.8657,12.6049
2015.MMP00397,2015-09-17,2015,September,1,,1,254,1,,,Mixed or unknown,33.0207732,13.551552
2015.MMP00399,2015-09-18,2015,September,7,,7,100,,,1,Drowning,36.50439,27.363253
2015.MMP00400,2015-09-18,2015,September,1,,1,14,1,,1,Drowning,38.328609,26.293587
2015.MMP00405,2015-09-19,2015,September,1,12,13,,1,,1,Drowning,39.2836,26.5057
2015.MMP00422,2015-09-20,2015,September,13,13,26,,,,6,Drowning,39.445562,26.042874
2015.MMP00423,2015-09-20,2015,September,2,24,26,,2,,10,Drowning,39.2836,26.5057
2015.MMP00424,2015-09-20,2015,September,,2,2,,,,,Drowning,39.2357,26.665
2015.MMP00429,2015-09-22,2015,September,,2,2,,,,,Drowning,39.2836,26.5057
2015.MMP00430,2015-09-22,2015,September,1,,1,,,1,,Drowning,39.2836,26.5057
2015.MMP00433,2015-09-23,2015,September,1,,1,,1,,,Drowning,39.3671,26.1751
2015.MMP00437,2015-09-24,2015,September,1,,1,,,1,,Drowning,37.4667,26.9667
2015.MMP00439,2015-09-25,2015,September,,7,7,,,,,Drowning,36.893311,27.307574
2015.MMP00443,2015-09-27,2015,September,17,,17,0,5,,5,Drowning,36.5278615,34.692518
2015.MMP00449,2015-09-29,2015,September,1,5,6,,,,,Drowning,40.72294247,26.043375
2015.MMP00453,2015-09-30,2015,September,2,,2,0,1,1,1,Drowning,39.2836,26.5057
2015.MMP00462,2015-10-02,2015,October,1,,1,,,1,,Drowning,36.9523,26.9808
2015.MMP00463,2015-10-03,2015,October,2,,2,,1,1,,Drowning,36.8915,27.2877
2015.MMP00464,2015-10-04,2015,October,2,,2,,,2,2,Drowning,36.8925871,27.287793
2015.MMP00467,2015-10-05,2015,October,1,,1,,,1,,Drowning,36.8893,27.1828
2015.MMP00469,2015-10-05,2015,October,95,,95,,,,,Drowning,32.7873,12.7826
2015.MMP00482,2015-10-09,2015,October,1,,1,,,1,1,Drowning,39.2836,26.5057
2015.MMP00484,2015-10-09,2015,October,2,,2,,,2,,Drowning,36.43896196,-6.429884
2015.MMP00485,2015-10-10,2015,October,7,,7,,,,,Drowning,31.5548412,31.091137
2015.MMP00485,2015-10-10,2015,October,4,,4,,,,,Drowning,31.5548412,31.091137
2015.MMP00494,2015-10-13,2015,October,1,1,2,,,1,,Drowning,35.2964286,-2.94281
2015.MMP00495,2015-10-14,2015,October,3,,3,,2,1,2,Drowning,39.2836,26.5057
2015.MMP00496,2015-10-14,2015,October,7,2,9,,4,4,5,Drowning,37.471039,27.02218
2015.MMP00506,2015-10-15,2015,October,7,1,8,,2,1,4,Drowning,39.2836,26.5057
2015.MMP00513,2015-10-16,2015,October,1,-1,0,,1,,,Mixed or unknown,39.4162,26.4074
2015.MMP00513,2015-10-16,2015,October,3,,3,,,,,Drowning,39.4162,26.4074
2015.MMP00513,2015-10-16,2015,October,10,,10,,5,2,6,Drowning,39.4162,26.4074
2015.MMP00513,2015-10-17,2015,October,1,-1,0,,,1,,Mixed or unknown,39.4162,26.4074
2015.MMP00514,2015-10-17,2015,October,4,3,7,,4,2,5,Drowning,38.1646858,26.747187
2015.MMP00518,2015-10-18,2015,October,1,,1,,,1,1,Mixed or unknown,38.3755288,25.716801
2015.MMP00519,2015-10-19,2015,October,4,1,5,,2,2,2,Drowning,34.2345,14.7437
2015.MMP00520,2015-10-19,2015,October,1,1,2,,,2,,Drowning,35.8894,-5.32135
2015.MMP00526,2015-10-20,2015,October,8,,8,,,,,Mixed or unknown,40.334718,17.164603
2015.MMP00544,2015-10-21,2015,October,,13,13,,1,,2,Drowning,39.4277,26.3885
2015.MMP00548,2015-10-22,2015,October,2,1,3,,,,1,Drowning,39.1756491,25.943523
2015.MMP00549,2015-10-22,2015,October,6,,6,,,,1,Drowning,31.5548,31.0911
2015.MMP00550,2015-10-22,2015,October,12,11,23,,5,2,5,Drowning,39.410744,26.586906
2015.MMP00551,2015-10-22,2015,October,4,1,5,,1,,4,Drowning,39.2836,26.5057
2015.MMP00552,2015-10-25,2015,October,43,,43,,,,,Drowning,32.5051,14.5102
2015.MMP00553,2015-10-25,2015,October,3,7,10,,2,1,2,Drowning,39.2836,26.5057
2015.MMP00555,2015-10-26,2015,October,1,,1,,1,,,Drowning,39.2836,26.5057
2015.MMP00556,2015-10-26,2015,October,1,,1,,,1,,Drowning,38.432258,26.243986
2015.MMP00557,2015-10-26,2015,October,1,,1,,,1,,Drowning,35.8953846,-5.334817
2015.MMP00560,2015-10-27,2015,October,1,1,2,,,,,Drowning,38.381773,26.464046
2015.MMP00561,2015-10-28,2015,October,2,,2,,1,1,2,Drowning,39.26025639,26.487821
2015.MMP00562,2015-10-28,2015,October,3,1,4,,,1,3,Drowning,37.68961042,27.006609
2015.MMP00563,2015-10-28,2015,October,3,,3,,,3,2,Drowning,34.2708,15.0073
2015.MMP00564,2015-10-28,2015,October,3,,3,,1,1,2,Drowning,37.4606024,27.005194
2015.MMP00565,2015-10-28,2015,October,44,-1,43,274,7,17,20,Drowning,39.3856462,26.216722
2015.MMP00565,2015-10-28,2015,October,14,-1,13,,1,,,Drowning,39.3856462,26.216722
2015.MMP00566,2015-10-28,2015,October,19,,19,0,1,2,11,Drowning,36.9523,26.9808
2015.MMP00567,2015-10-28,2015,October,1,,1,,,1,0,Drowning,39.277258,26.409536
2015.MMP00568,2015-10-28,2015,October,1,,1,,,,1,Mixed or unknown,37.458981,26.992945
2015.MMP00569,2015-10-28,2015,October,1,,1,,1,,1,Mixed or unknown,39.385094,26.15356
2015.MMP00575,2015-10-29,2015,October,7,32,39,15,,4,,Drowning,35.29857739,-3.925395
2015.MMP00576,2015-10-29,2015,October,3,4,7,,1,,2,Drowning,36.45062456,28.21575
2015.MMP00577,2015-10-29,2015,October,0,2,2,,,,,Drowning,37.7548,26.9778
2015.MMP00579,2015-10-29,2015,October,4,,4,,,,4,Drowning,39.470142,26.592653
2015.MMP00580,2015-10-30,2015,October,1,,1,,,,,Mixed or unknown,39.1756491,25.943523
2015.MMP00581,2015-10-30,2015,October,1,,1,,,,1,Drowning,37.4578,26.9721
2015.MMP00584,2015-10-31,2015,October,4,,4,,,,,Drowning,35.991336,-5.916205
2015.MMP00586,2015-10-31,2015,October,4,,4,,1,,3,Mixed or unknown,39.279915,26.388937
2015.MMP00594,2015-11-01,2015,November,11,,11,,5,,6,Drowning,37.751814,26.960291
2015.MMP00595,2015-11-01,2015,November,4,6,10,,,4,,Drowning,37.284761,27.125852
2015.MMP00597,2015-11-01,2015,November,1,,1,,,,,Drowning,38.35754,26.452157
2015.MMP00598,2015-11-01,2015,November,1,,1,,1,,,Drowning,39.276195,26.383443
2015.MMP00599,2015-11-01,2015,November,1,,1,,,1,1,Drowning,39.274069,26.38619
2015.MMP00602,2015-11-03,2015,November,1,,1,,,1,,Drowning,36.4073604,27.447418
2015.MMP00603,2015-11-03,2015,November,10,,10,,,4,6,Drowning,39.2836,26.5057
2015.MMP00605,2015-11-05,2015,November,1,1,2,,,,2,Drowning,36.8915,27.2877
2015.MMP00606,2015-11-05,2015,November,1,,1,,,1,,Drowning,37.4653473,26.932666
2015.MMP00612,2015-11-10,2015,November,1,,1,,,1,,Drowning,37.03833,27.429855
2015.MMP00614,2015-11-10,2015,November,14,1,15,,,,7,Drowning,39.445518,25.986638
2015.MMP00615,2015-11-11,2015,November,1,,1,,,1,,Mixed or unknown,39.276195,26.383443
2015.MMP00616,2015-11-11,2015,November,4,2,6,,,,,Drowning,37.779414,26.35341
2015.MMP00620,2015-11-13,2015,November,1,,1,,,1,1,Drowning,39.502976,26.406946
2015.MMP00635,2015-11-17,2015,November,8,,8,,,,,Drowning,39.274069,26.38825
2015.MMP00636,2015-11-17,2015,November,,2,2,,,2,2,Mixed or unknown,36.921375,27.296143
2015.MMP00636,2015-11-17,2015,November,3,,3,,2,1,,Mixed or unknown,36.921375,27.296143
2015.MMP00636,2015-11-17,2015,November,6,,6,,2,,4,Mixed or unknown,36.921375,27.296143
2015.MMP00646,2015-11-18,2015,November,9,6,15,,1,,1,Drowning,31.241703,34.235811
2015.MMP00655,2015-11-20,2015,November,1,,1,,1,,,Drowning,36.594168,-3.532006
2015.MMP00664,2015-11-25,2015,November,1,,1,,1,,1,Drowning,37.847167,27.252642
2015.MMP00666,2015-11-27,2015,November,4,,4,,,,4,Drowning,39.603753,26.401857
2015.MMP00667,2015-11-28,2015,November,5,,5,,1,2,2,Drowning,39.314606,26.515185
2015.MMP00674,2015-12-01,2015,December,4,29,33,,2,,7,Drowning,38.325725,26.289227
2015.MMP00675,2015-12-01,2015,December,1,,1,,,1,1,Drowning,39.3346,26.4755
2015.MMP00681,2015-12-03,2015,December,3,2,5,,1,2,1,Drowning,37.2856,27.0866
2015.MMP00689,2015-12-08,2015,December,6,,6,8,,,6,Drowning,39.0245112,15.296917
2015.MMP00692,2015-12-09,2015,December,1,,1,,,,,Drowning,36.88262,27.311018
2015.MMP00693,2015-12-09,2015,December,17,8,25,26,6,4,6,Drowning,37.469404,27.027424
2015.MMP00694,2015-12-09,2015,December,1,,1,18,,,1,Drowning,37.305186,27.133167
2015.MMP00701,2015-12-10,2015,December,4,,4,,1,2,1,Drowning,37.276233,27.107574
2015.MMP00702,2015-12-10,2015,December,4,9,13,7,,,,Drowning,37.318839,27.118061
2015.MMP00704,2015-12-12,2015,December,1,,1,,,1,,Drowning,36.173351,29.602718
2015.MMP00706,2015-12-14,2015,December,3,3,6,12,,,3,Drowning,36.175438,29.589343
2015.MMP00707,2015-12-14,2015,December,1,,1,,,1,,Drowning,37.586014,26.494619
2015.MMP00708,2015-12-14,2015,December,1,,1,,,1,1,Drowning,39.446941,26.480153
2015.MMP00710,2015-12-15,2015,December,2,3,5,18,2,,2,Drowning,36.964183,27.43113
2015.MMP00727,2015-12-16,2015,December,1,,1,,,1,1,Drowning,36.93013,27.001581
2015.MMP00728,2015-12-16,2015,December,2,,2,200,,,2,Drowning,38.331957,26.214435
2015.MMP00729,2015-12-16,2015,December,4,,4,58,,,4,Drowning,36.9523,26.9808
2015.MMP00730,2015-12-16,2015,December,5,,5,92,,1,3,Drowning,39.196567,26.575927
2015.MMP00740,2015-12-18,2015,December,4,,4,4,,,2,Drowning,36.925738,27.254266
2015.MMP00741,2015-12-18,2015,December,4,,4,,,,3,Drowning,37.118979,27.220141
2015.MMP00744,2015-12-18,2015,December,18,,18,14,4,,10,Drowning,36.941323,27.343616
2015.MMP00746,2015-12-19,2015,December,1,,1,61,1,,1,Drowning,38.376413,26.213546
2015.MMP00747,2015-12-19,2015,December,2,,2,,1,1,1,Drowning,37.659145,26.326265
2015.MMP00768,2015-12-20,2015,December,1,,1,,1,,1,Drowning,37.63936948,26.498112
2015.MMP00769,2015-12-21,2015,December,1,,1,,,1,,Drowning,37.576548,26.482196
2015.MMP00770,2015-12-22,2015,December,2,,2,69,1,,1,Drowning,39.0245112,15.296917
2015.MMP00771,2015-12-22,2015,December,13,1,14,15,2,4,7,Drowning,37.2954,27.1127
2015.MMP00772,2015-12-22,2015,December,11,,11,7,,,1,Drowning,39.3805469,26.186166
2015.MMP00773,2015-12-23,2015,December,1,,1,509,,,,Drowning,36.179661,14.815938
2015.MMP00774,2015-12-23,2015,December,1,,1,,1,,,Mixed or unknown,37.566252,26.505769
